SKU,Internal LBS SKU,H1,Brand Name,Product Description,Category,Product UPC,Product URL,Spec Sheet URL,Custom Fields,Minimum Purchase Quantity,Big Commerce Product ID
13015-E26,13015-E26,Black Plastic Ceiling Light with White Jelly Jar,Incon Lighting,"<h2 class=""product_title entry-title""><span>BAA Compliant Flush Mount Lighting&nbsp;</span>- Non Corrosive Composite Fixture - E26 Medium Socket</h2> <div class=""description""> <p>Illuminate your space with the perfect blend of classic design and modern durability. Our Black Plastic Ceiling Light Fixture with a White Jelly Jar is not only aesthetically pleasing but also adheres to the highest standards of quality, being fully BAA (Buy American Act) compliant.</p> <h4><strong>Key Features:</strong></h4> <ul> <li><span>Sturdy Construction</span>: Made from high-quality black plastic, this ceiling light fixture is designed to withstand various elements, making it suitable for both indoor and outdoor environments.</li> <li><span>Classic Design</span>: The timeless white jelly jar design adds a touch of elegance and charm to any setting, blending seamlessly with different decor styles.</li> <li><span>BAA Compliant</span>: Proudly meeting the standards of the Buy American Act, supporting local manufacturing and ensuring top-notch quality.</li> <li><span>Versatile Application</span>: Ideal for hallways, entryways, porches, and other areas where reliable and attractive lighting is needed.</li> <li><span>Low Maintenance</span>: The durable materials used in the construction of this fixture ensure longevity and minimal upkeep.</li> </ul> <h4><strong>Specifications:</strong></h4> <ul> <li>Material: High-quality black plastic</li> <li>Shade: White jelly jar</li> <li>Compliance: BAA (Buy American Act)</li> <li>Location: Suitable for both indoor and outdoor use</li> <li>Base: Standard medium socket</li> <li>Bulb Compatibility: Compatible with LED, CFL, and incandescent bulbs (not included)</li> </ul> <h4><strong>Benefits:</strong></h4> <ul> <li><span>Timeless Appeal</span>: The classic white jelly jar paired with the sleek black fixture offers a look that never goes out of style.</li> <li><span>Quality Assurance</span>: BAA compliance guarantees that you're investing in a product that supports domestic manufacturing and meets rigorous quality standards.</li> <li><span>Adaptable</span>: Whether you're lighting up a cozy indoor space or brightening an outdoor area, this fixture is designed to fit seamlessly.</li> <li><span>Durable</span>: Built to last, this fixture ensures that your space stays well-lit and inviting for years to come.</li> </ul> <p><span>Conclusion:</span> Embrace the perfect combination of style, durability, and compliance with our Black Plastic Ceiling Light Fixture with White Jelly Jar. Whether you're looking to enhance your home or light up a commercial space, this BAA-compliant fixture is designed to meet your needs while supporting American craftsmanship. Illuminate your space with confidence and elegance &ndash; choose our Black Plastic Ceiling Light Fixture today!</p> </div> <h4>Downloads</h4> <div class=""collateral-box attachment-specs""><span class=""label""><a title=""130/132 LED Series"" href=""https://inconlighting.com/content/specs/130-E26.pdf"" target=""_blank""><span class=""attach-img""><img class=""__mce_add_custom__"" style=""margin-right: 5px;"" title=""a-download-spec-100px.png"" src=""https://cdn11.bigcommerce.com/s-o7p3kkw0ib/product_images/uploaded_images/a-download-spec-100px.png"" alt=""a-download-spec-100px.png"" width=""100"" height=""100"" /></span></a></span><em><a href=""https://inconlighting.com/content/specs/132-instruction.pdff"" target=""_blank""><img class=""__mce_add_custom__"" title=""lbs-download-install-100px.png"" src=""https://cdn11.bigcommerce.com/s-o7p3kkw0ib/product_images/uploaded_images/lbs-download-install-100px.png"" alt=""lbs-download-install-100px.png"" width=""100"" height=""100"" /></a></em> <h4><strong>Disclaimers</strong></h4> <p><em>*This product typically ships in 2 to 3 business days. Larger quantities may take longer than stated lead-time.&nbsp; All lead-times are estimates and you will be notified by email if it will take longer than 5 business days to ship.</em></p> <p>&nbsp;</p> <p>&nbsp;</p> </div>",Fixtures/Indoor/Flush Mount,,https://lightbulbsurplus.com/black-plastic-ceiling-light-with-white-jelly-jar/,https://inconlighting.com/content/specs/130-E26.pdf,"""Case Quantity=1"";""Shade/Lens Color=White"";""Base Color=Black"";""Fixture Style=Economy"";""Shade/Lens Material=Acrylic"";""Height (in.)=9.50"";""Diameter (in.)=4.30"";""Socket Type=Medium Base Socket"";""UL Listed=Damp Location Listed"";""Country of Origin=Made in the USA"";""Short Description=Typically Ships in 1-2 Business Days*""",0,33565
21617-LED-B3,21617-LED-B3,LED Emergency Battery Back-up Wall Sconce Light Ultra Chrome,Incon Lighting,"<h2 class=""short_description"">Incon 21617&nbsp;LED Power-Failure Decorative Wall Mount Lighting Fixture</h2> <div class=""description""><span>Introducing the LED Emergency Battery Back-Up Wall Sconce Light in Ultra Chrome. This stylish and versatile lighting solution is designed to provide reliable illumination in any situation. Whether you're looking to enhance the ambiance of your space or ensure safety during power outages, this LED wall sconce light is a perfect choice. With its sleek Ultra Chrome finish, it adds a touch of modern elegance to any decor. Equipped with a built-in emergency battery back-up, it automatically switches to battery power during power failures, providing uninterrupted light for extended periods. The energy-efficient LED technology ensures long-lasting performance and reduced energy consumption. Easy to install and maintain, this wall sconce light is a reliable and convenient lighting solution for both residential and commercial applications. Illuminate your space with style and peace of mind with the LED Emergency Battery Back-Up Wall Sconce Light in Ultra Chrome.</span></div> <h4 class=""description""><strong>Features</strong></h4> <div class=""description""> <ul> <li>Opal white acrylic lens</li> <li>90 minutes operation in emergency mode</li> <li>550 lumens in emergency mode</li> <li>18 Watt - 1700 Lumens (120W Equal)(Normal Mode) (2 Light)</li> <li>Reliable emergency lighting during power outages</li> <li>Stylish Ultra Chrome finish for modern aesthetics</li> <li>Energy-efficient LED technology for reduced energy consumption</li> <li>Versatile application for residential and commercial use</li> <li>Easy installation and minimal maintenance</li> <li>Built-in emergency battery back-up for uninterrupted illumination</li> <li>Long-lasting LED performance</li> <li>Durable construction for lasting reliability</li> <li>BAA Buy American Act Compliant</li> </ul> </div> <h4><strong>Downloads</strong></h4> <div class=""collateral-box attachment-specs""><span class=""label""><a title=""Incon 216 Series"" href=""https://inconlighting.com/content/specs/216.pdf"" rel=""nofollow"" target=""_blank""><span class=""attach-img""><img class=""__mce_add_custom__"" style=""margin-right: 5px;"" title=""a-download-spec-100px.png"" src=""https://cdn11.bigcommerce.com/s-o7p3kkw0ib/product_images/uploaded_images/a-download-spec-100px.png"" alt=""a-download-spec-100px.png"" width=""100"" height=""100"" /></span></a></span> <h4><strong>Disclaimers</strong></h4> <p><em>*This product typically ships in 5 business days. Larger quantities may take longer than stated lead-time.&nbsp; All lead-times are estimates and you will be notified by email if it will take longer than 5 business days to ship. This item ships directly from the factory.&nbsp;This item is built to order and is therefore a custom, non-returnable item.</em></p> <p>&nbsp;</p> </div>",Fixtures/Emergency Battery Back Up Lighting/Emergency Decorative Lights;Fixtures/Indoor/Wall Sconces,,https://lightbulbsurplus.com/led-emergency-battery-back-up-wall-sconce-light-ultra-chrome/,https://inconlighting.com/content/specs/216.pdf,"""Wattage=18 Watts"";""Fixture Type=Emergency"";""Fixture Finish=Chrome"";""Designer Finish=Ultra Chrome"";""Fixture Style=Modern"";""Fixture Shape=Half-Cylinder"";""Fixture Environment=Indoor/Outdoor (Damp Rated)"";""Emergency Mode=90 Minutes"";""Emergency Wattage=6 Watts"";""Emergency Lumens=550"";Lumens=1700;""Shade/Lens Color=White Translucent"";""Shade/Lens Material=Acrylic"";Voltage=120V;""Depth (in.)=5.50"""""";""Width (in.)=11.50"""""";""Height (in.)=10.30"""""";""UL Listed=Yes"";""Country of Origin=Made in the USA"";""Short Description=Typically Ships in 3-5 Business Days*""",0,33704
51511-4L-XXK,51511-4L-XXK,Cloud Vanity Bathroom Fixture 21 Watt LED 4ft,Incon Lighting,"<h2 class=""short_description"">Puff Vanity 2 Light LED 48""</h2> <div class=""description"">64W Light Ceiling Fixture in White Finish with Clear Prismatic Polycarbonate Diffuser. Shatter resistant designs offer trouble free solutions. Fluorescent ceiling fixture in white finish with sturdy clear LEXAN diffuser. U.L. listed for damp location. Mount wall or ceiling.</div> <h4>Downloads</h4> <div class=""collateral-box attachment-specs""> <ul id=""product-attachment-specs-table"" class=""data-table""> <li><span class=""label""> <a class=""prod-attach"" title=""Incon 515 Series"" href=""https://inconlighting.com/content/specs/515-LED.pdf"" rel=""nofollow"" target=""_blank""> <span class=""attach-img""><img style=""margin-right: 5px;"" src=""https://cdn11.bigcommerce.com/s-o7p3kkw0ib/product_images/uploaded_images/pdf.png"" alt=""View File"" /></span> </a> </span> <p>Specifications</p> </li> </ul> </div>",SALE/Clearance Fixtures,,https://lightbulbsurplus.com/cloud-vanity-bathroom-fixture-21-watt-led-4ft/,https://inconlighting.com/content/specs/515-LED.pdf,"Color=White;Lumens=3300;""Order Code=51511-4L"";Voltage=120V",0,33743
30411-13LED-120-40K,30411-13LED-120-40K,LED White Lens Minimal White Wall Mount 13W Porch Light 4000K,Incon Lighting,"<h2 class=""short_description"">13 Watt Compact Jar Style Lens Outdoor Fixture (60 Watt Equal) - Impact Resistant Polycarbonate Light Housing - Optional Dusk-to-Dawn Photocell</h2> <div class=""description""> <p>Incon Lighting's 304 series are small and well-built outdoor fixtures for wet locations, ideal for residential, commercial, and industrial use. The 30411-13LED-120 includes a 13 watt (60W equivalent) LED bulb that emits 900 lumens of cool white light. It has a white acrylic jar lens and can be fitted with a dusk-to-dawn photocell.</p> </div> <h4>Downloads</h4> <div class=""collateral-box attachment-specs""> <ul id=""product-attachment-specs-table"" class=""data-table""> <li><span class=""label""> <a class=""prod-attach"" title=""304 LED Series"" href=""https://lightbulbsurplus.com/content/file-1482521970.pdf""> <span class=""attach-img""><img style=""margin-right: 5px;"" src=""https://cdn11.bigcommerce.com/s-o7p3kkw0ib/product_images/uploaded_images/pdf.png"" alt=""View File"" /></span> </a> </span> <p>304 Series Specifications</p> </li> </ul> </div>",Fixtures/Outdoor/Wall Mount,,https://lightbulbsurplus.com/products/led-white-lens-minimal-white-wall-mount-13w-porch-light-4000k.html,,"""Fixture Style=Modern"";""Shade/Lens Color=White"";""Shade/Lens Material=Acrylic"";""Base Color=White"";""Depth (in.)=5.25"";""Width (in.)=4.5"";""Height (in.)=9.5"";""Case Quantity=1"";""Color Temperature=4000K"";""Country of Origin=Made in the USA"";Dimmable=Yes;""Lumens=900 Lumens"";""Order Code=30411-13LED-120-40K"";""Equivalent=60 Watts"";""UL Listed=Wet Location Listed"";Voltage=120V;""Wattage=13 Watts"";""Bulb Color=Cool White"";""Light Source=LED"";""Lighting Technology=Bulbs Included"";""__Lumen Range=500-999"";""__Wattage Range=10-19"";""__Fixture Finish=White""",0,33750
30551-13LED-120-30K,30551-13LED-120-30K,13W White LED Entrance Light with Clear Prismatic Round Globe 3000K,Incon Lighting,"<h2 class=""short_description"">13W Globe Style Clear Lens Outdoor Fixture 60 Watt Equal - Impact Resistant White Polycarbonate Light Housing - Optional Dusk-to-Dawn Photocell</h2> <div class=""description""> <p>Incon Lighting's 305 series are well-built outdoor fixtures for wet locations, ideal for residential, commercial, and industrial use. The 30591-13LED-120 includes a 13 watt (60W equivalent) LED bulb that emits 900 lumens of soft white light. It has a clear prismatic acrylic globe lens and can be fitted with an optional dusk-to-dawn photocell.</p> </div> <h4>Downloads</h4> <div class=""collateral-box attachment-specs""> <ul id=""product-attachment-specs-table"" class=""data-table""> <li><span class=""label""> <a class=""prod-attach"" title=""305 LED Series"" href=""https://lightbulbsurplus.com/content/file-1482886519.pdf""> <span class=""attach-img""><img style=""margin-right: 5px;"" src=""https://cdn11.bigcommerce.com/s-o7p3kkw0ib/product_images/uploaded_images/pdf.png"" alt=""View File"" /></span> </a> </span> <p>305 Series Specifications</p> </li> </ul> </div>",Fixtures/Outdoor/Wall Mount,,https://lightbulbsurplus.com/products/13w-white-led-entrance-light-with-clear-prismatic-round-globe-3000k.html,,"""Fixture Style=Globe Pendant"";""Shade/Lens Color=Clear Prismatic"";""Shade/Lens Material=Acrylic"";""Base Color=Black"";""Depth (in.)=6.75"";""Width (in.)=6.75"";""Height (in.)=6"";""Case Quantity=1"";""Color Temperature=3000K"";""Country of Origin=Made in the USA"";Dimmable=Yes;""Lumens=900 Lumens"";""Order Code=30591-13LED-120-30K"";""Equivalent=60 Watts"";""UL Listed=Wet Location Listed"";Voltage=120V;""Wattage=13 Watts"";""Bulb Color=Soft White"";""Light Source=LED"";""Lighting Technology=Bulbs Included"";""__Lumen Range=500-999"";""__Wattage Range=10-19"";""__Fixture Finish=Black"";""__Fixture Finish=White""",0,33775
LENS-3306,LENS-3306,Incon LENS-3306,Incon Lighting,"<h2 class=""short_description"">Replacement Frosted Polycarbonate Lens for Nautical Oval Lights</h2> <p>Please feel free to contact us if you do not see the fixture below to see if this fits your light fixture.</p> <h4 class=""description""><strong>Fits the following Light Fixtures</strong></h4> <ul> <li>Envoy Lighting&nbsp;EFE Series</li> <li>Generation Lighting&nbsp;<span class=""b"" data-automation=""product-model-number"">89805-12,&nbsp;</span><span class=""b"" data-automation=""product-model-number"">8335-15</span></li> <li>Incon Lighting 330, 331, 332 &amp; 335 series. Part# LENS-3306</li> <li>Interglobal&nbsp;C050FC,&nbsp;FE101, FE102, FE103, FE104</li> <li>Maxim Bulwark 10110FTWT&nbsp;<span class=""b"" data-automation=""product-model-number"">10110FTBK</span></li> <li>Nuvo Lighting SF77/857, SF77/858</li> <li>Progress Lighting P5704-30,&nbsp;<span class=""b"" data-automation=""product-model-number"">P5705-30,&nbsp;</span><span class=""b"" data-automation=""product-model-number"">P5706-30</span></li> <li><span class=""b"" data-automation=""product-model-number""><span class=""b"" data-automation=""product-model-number"">Roseto&nbsp;</span></span>SGWS66879BK,&nbsp;<span class=""b"" data-automation=""product-model-number"">GWS66879WH</span></li> <li>Saylite - EOINCLPLEDWH,&nbsp;CEOL13W1000LD120WH40K,&nbsp;CEOL11W912LMVWH40K,&nbsp;EOGINCLPLEDWH, CEOGL13W1000LD120WH40K, CEOGL11W912LMVWH40K,&nbsp;EOSINCLPLEDWH CEOSL13W1000LD120WH40K CEOSL11W912LMVWH40Ke</li> <li>Wave Lighting S76WF, S75WF, &amp; S77WF</li> <li>Volume Lighting&nbsp;<span class=""b"" data-automation=""product-model-number"">V8854-6</span></li> </ul> <h4><strong>Disclaimers</strong></h4> <p><em>*This product typically ships in 1 to 2 business days. Larger quantities may take longer than stated lead-time.&nbsp; All lead-times are estimates and you will be notified by email if it will take longer than 5 business days to ship. This item ships directly from the factory.</em></p>",Fixtures/Indoor/Wall Sconces,,https://lightbulbsurplus.com/incon-lens-3306/,,"""Order Code=LENS-3306"";""Length (in.)=10.25"";""Width (in.)=5.625"";""Depth (in.)=2.875"";""Short Description=Typically Ships in 1-2 Business Days**""",0,33961
86295-E26,86295-E26,Black Plastic Outdoor Colonial Post Coach Lantern Fixture,Incon Lighting,"<p class=""short_description"">Illuminate your walkways and yard with this Outdoor Coach Post Top Light. It is also available with an optional pier mount. The fixture is constructed from a non-corrosive, UV-resistant plastic material with a non-rusting and anti-chipping white or black finish for long-lasting good looks. Best for poles 12 ft or less.&nbsp; Great for residential or multi-family.&nbsp;&nbsp;</p> <h4 class=""short_description""><strong>Features</strong></h4> <div class=""description""> <ul> <li>Non-corrosive, anti-chip Composite housing is UV resistant for outdoor installation</li> <li>Black anti-rust finish for long life</li> <li>Clear Beveled Acrylic Lens</li> <li>Weather-resistant construction protects against damage due to exposure to the elements</li> <li>E26 Medium Socket</li> <li><span style=""background-color: #ffff00;"">Fits on a 3"" Diameter Pole&nbsp;<em>(Not Included)</em></span></li> <li>120V 50/60Hz</li> <li>Buy American&nbsp;Compliant</li> <li>3-Year Warranty</li> </ul> <h4><strong>Wattage/Lumens/120V</strong></h4> <ul> <li>Medium E26 Base&nbsp;<em>(60W Max) (Bulb Not Included)</em></li> </ul> <h4><strong>Disclaimers</strong></h4> <p><em>*This product typically ships in 2 to 3 business days. Larger quantities may take longer than stated lead-time.&nbsp; All lead-times are estimates and you will be notified by email if it will take longer than 5 business days to ship.&nbsp; This product is shipped Factory Direct</em></p> <p>&nbsp;</p> </div>",Fixtures/Outdoor/Street Lights | Post Mount,,https://lightbulbsurplus.com/black-plastic-outdoor-colonial-post-coach-lantern-fixture/,,"""Catalog No=86295-E26"";""Base Color=Black"";""Shade/Lens Color=Clear Beveled"";""Shade/Lens Material=Acrylic"";""Lamp(s) Included=Sold Separately"";""Height (in.)=13.5"";""Width (in.)=8"";""Socket Type=Medium (E26)"";""Wattage=Maximum 60 Watt (Bulb not Included)"";""Short Description=Typically Ships in 2-3 Business Days*""",0,34057
34405-9LEDA19-30K,34405-9LEDA19-30K,Dark Sky Black Outdoor Cylinder Wall Light Fixture - 9.5W LED - 3000K,Incon Lighting,"<div class=""flex max-w-full flex-col flex-grow""> <div class=""min-h-8 text-message flex w-full flex-col items-end gap-2 whitespace-normal break-words text-start [.text-message+&amp;]:mt-5"" dir=""auto"" data-message-author-role=""assistant"" data-message-id=""cdb88c1c-7cfc-4fe5-bde3-54f16ea6008a"" data-message-model-slug=""gpt-4o""> <div class=""flex w-full flex-col gap-1 empty:hidden first:pt-[3px]""> <div class=""markdown prose w-full break-words dark:prose-invert dark""> <h2><strong>Exterior Wall-Mounted LED Barrel Shape Light - Downlight Design for Patios &amp; Entryways</strong></h2> <p>Elevate your outdoor spaces with this sleek and functional Dark Sky Black Outdoor Cylinder Wall Light Fixture. Designed for wet locations, it features a closed top and open bottom design to provide downward illumination while minimizing light pollution. Constructed with a corrosion-resistant resin composite, this fixture is built to withstand the elements and maintain its elegant black finish. Its 9.5W LED light emits a soft, warm 3000K glow, making it an energy-efficient and stylish replacement for traditional 60W bulbs.</p> <h4><strong>Features</strong></h4> <ul> <li><strong>Energy-Efficient LED:</strong> 9.5W LED light equivalent to 60W incandescent, offering energy savings.</li> <li><strong>Warm White Illumination:</strong> 3000K color temperature creates a soft and inviting glow.</li> <li><strong>Dark Sky Compliant:</strong> Closed top design minimizes upward light spill, reducing light pollution.</li> <li><strong>Durable Construction:</strong> Made from corrosion-resistant resin composite for longevity in outdoor conditions.</li> <li><strong>Wet Location Rated:</strong> Ideal for outdoor use in all weather conditions.</li> <li><strong>Compact Dimensions:</strong> Measures 7.75&rdquo; in depth and 7.5&rdquo; in height, perfect for small to medium wall spaces.</li> </ul> <h4><strong>Applications</strong></h4> <ul> <li>Enhance your <strong>front porch</strong>, <strong>patio</strong>, or <strong>garden wall</strong> with subtle and elegant lighting.</li> <li>Use for <strong>pathway illumination</strong> while maintaining compliance with dark sky regulations.</li> <li>Ideal for residential or commercial outdoor spaces requiring durable, energy-efficient lighting.</li> </ul> <h4><strong>Specifications</strong></h4> <ul> <li><strong>Material:</strong> Corrosion-resistant resin composite</li> <li><strong>Finish:</strong> Black</li> <li><strong>Light Source:</strong> 9.5W LED (60W incandescent equivalent)</li> <li><strong>Color Temperature:</strong> 3000K (Soft White)</li> <li><strong>Dimensions:</strong> 7.75&rdquo; depth x 7.5&rdquo; height</li> <li><strong>Design:</strong> Closed top, open bottom for downward light focus</li> <li><strong>Mounting:</strong> Wall mount</li> <li><strong>Certifications:</strong> Wet location listed</li> </ul> <h4><strong>Why Choose This Fixture?</strong></h4> <p>This outdoor cylinder light combines <strong>modern aesthetics</strong> with <strong>practical functionality</strong>, making it a reliable and stylish choice for any exterior space. Its dark sky compliance and robust design ensure that you enjoy beautiful illumination without compromising on sustainability or durability.</p> <h4 class=""short_description""><strong>Downloads</strong></h4> <p class=""short_description""><span class=""attach-img""><a title=""344 LED Series"" href=""https://inconlighting.com/content/specs/344.pdf"" target=""_blank""><img class=""__mce_add_custom__"" title=""lbs-download-spec-100px.png"" src=""https://cdn11.bigcommerce.com/s-o7p3kkw0ib/product_images/uploaded_images/lbs-download-spec-100px.png"" alt=""lbs-download-spec-100px.png"" width=""100"" height=""100"" /></a><br /></span></p> <h4><strong>Disclaimers</strong></h4> <p><em>*This product typically ships in 2 to 3 business days. Larger quantities may take longer than stated lead-time. All lead-times are estimates and you will be notified by email if it will take longer than 5 business days to ship.<br />** This item ships directly from the factory.</em></p> </div> </div> </div> </div>",Fixtures/Outdoor/Wall Mount,,https://lightbulbsurplus.com/dark-sky-black-outdoor-cylinder-wall-light-fixture-9-5w-led-3000k/,https://inconlighting.com/content/specs/344.pdf,"""Order Code=34405-9LEDA19-30K"";""Lighting Technology=LED Ready"";""Light Source=LED"";""Fixture Style=Minimalist"";""Fixture Shape=Cylinder"";""Fixture Finish=Black"";""Fixture Environment=Outdoor"";""Fixture Application=Dark Sky"";""Depth (in.)=7.75"";""Width (in.)=5.00"";""Height (in.)=7.25"";""Color Temperature=3000K"";Dimmable=No;Lumens=800;""Wattage Equivalent=60 Watt"";""Lamp(s) Included=Yes"";""Socket Type=E26 Medium"";""Safety Rating=UL Listed for Wet Locations"";Voltage=120V;""Wattage=9.5 Watt"";""Bulb Color=Soft White"";""Buy American Act Compliant=Yes"";""Country of Origin=Made in the USA"";""Price Shown=Per Fixture"";""__Wattage Range=5-9"";""__Fixture Finish=Black""",0,34148
30551-13LED-120-40K,30551-13LED-120-40K,13W White LED Entrance Light with Clear Prismatic Round Globe 4000K,Incon Lighting,"<h2 class=""short_description"">13W Globe Style Clear Lens Outdoor Fixture 60 Watt Equal - Impact Resistant White Polycarbonate Light Housing - Optional Dusk-to-Dawn Photocell</h2> <div class=""description""> <p>Incon Lighting's 305 series are well-built outdoor fixtures for wet locations, ideal for residential, commercial, and industrial use. The 30591-13LED-120 includes a 13 watt (60W equivalent) LED bulb that emits 900 lumens of cool white light. It has a clear prismatic acrylic globe lens and can be fitted with an optional dusk-to-dawn photocell.</p> </div> <h4>Downloads</h4> <div class=""collateral-box attachment-specs""> <ul id=""product-attachment-specs-table"" class=""data-table""> <li><span class=""label""> <a class=""prod-attach"" title=""305 LED Series"" href=""https://lightbulbsurplus.com/content/file-1482886519.pdf""> <span class=""attach-img""><img style=""margin-right: 5px;"" src=""https://cdn11.bigcommerce.com/s-o7p3kkw0ib/product_images/uploaded_images/pdf.png"" alt=""View File"" /></span> </a> </span> <p>305 Series Specifications</p> </li> </ul> </div>",Fixtures/Outdoor/Wall Mount,,https://lightbulbsurplus.com/products/13w-white-led-entrance-light-with-clear-prismatic-round-globe-4000k.html,,"""Fixture Style=Globe Pendant"";""Shade/Lens Color=Clear Prismatic"";""Shade/Lens Material=Acrylic"";""Base Color=Black"";""Depth (in.)=6.75"";""Width (in.)=6.75"";""Height (in.)=6"";""Case Quantity=1"";""Color Temperature=4000K"";""Country of Origin=Made in the USA"";Dimmable=Yes;""Lumens=900 Lumens"";""Order Code=30591-13LED-120-40K"";""Equivalent=60 Watts"";""UL Listed=Wet Location Listed"";Voltage=120V;""Wattage=13 Watts"";""Bulb Color=Cool White"";""Light Source=LED"";""Lighting Technology=Bulbs Included"";""__Lumen Range=500-999"";""__Wattage Range=10-19"";""__Fixture Finish=Black"";""__Fixture Finish=White""",0,34348
30415-13LED-120-30K,30415-13LED-120-30K,LED White Lens Minimal Black Wall Mount 13W Porch Light 3000K,Incon Lighting,"<h2 class=""short_description"">13 Watt Compact Jar Style Lens Outdoor Fixture (60 Watt Equal) - Impact Resistant Polycarbonate Light Housing - Optional Dusk-to-Dawn Photocell</h2> <div class=""description""> <p>Incon Lighting's 304 series are small and well-built outdoor fixtures for wet locations, ideal for residential, commercial, and industrial use. The 30415-13LED-120 includes a 13 watt (60W equivalent) LED bulb that emits 900 lumens of soft white light. It has a white acrylic jar lens and can be fitted with a dusk-to-dawn photocell.</p> </div> <h4>Downloads</h4> <div class=""collateral-box attachment-specs""> <ul id=""product-attachment-specs-table"" class=""data-table""> <li><span class=""label""> <a class=""prod-attach"" title=""304 LED Series"" href=""https://lightbulbsurplus.com/content/file-1482521970.pdf""> <span class=""attach-img""><img style=""margin-right: 5px;"" src=""https://cdn11.bigcommerce.com/s-o7p3kkw0ib/product_images/uploaded_images/pdf.png"" alt=""View File"" /></span> </a> </span> <p>304 Series Specifications</p> </li> </ul> </div>",Fixtures/Outdoor/Wall Mount,,https://lightbulbsurplus.com/products/led-white-lens-minimal-black-wall-mount-13w-porch-light-3000k.html,,"""Fixture Style=Modern"";""Shade/Lens Color=White"";""Shade/Lens Material=Acrylic"";""Base Color=Black"";""Depth (in.)=5.25"";""Width (in.)=4.5"";""Height (in.)=9.5"";""Case Quantity=1"";""Color Temperature=3000K"";""Country of Origin=Made in the USA"";Dimmable=Yes;""Lumens=900 Lumens"";""Order Code=30415-13LED-120-30K"";""Equivalent=60 Watts"";""UL Listed=Wet Location Listed"";Voltage=120V;""Wattage=13 Watts"";""Bulb Color=Soft White"";""Light Source=LED"";""Lighting Technology=Bulbs Included"";""__Lumen Range=500-999"";""__Wattage Range=10-19"";""__Fixture Finish=Black""",0,34399
